,name,university,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,สาขาวิชา,อัตราการได้งานทำ,ค่ามัธยฐานเงินเดือน
30,วศ.บ. สาขาวิชาวิศวกรรมการผลิตดิจิทัลและการบูรณาการหุ่นยนต์ (นานาชาติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมการผลิตดิจิทัลและการบูรณาการหุ่นยนต์,B.Eng. (Digital Manufacturing and Robotics Integration Engineering),นานาชาติ,บางเขน,,,,รับ 20 คน,รับ 7 คน,รับ 30 คน,รับ 10 คน,,,
31,วศ.บ. สาขาวิชาวิศวกรรมโยธา (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมโยธา,B.Eng. (Civil Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 35 คน,,รับ 35 คน,ไม่เปิดรับสมัครในรอบนี้,,,
32,วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมโยธา-ทรัพยากรน้ำ,B.Eng. (Civil-Water Resources Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 15 คน,,รับ 45 คน,ไม่เปิดรับสมัครในรอบนี้,,,
33,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ,B.Eng. (Materials Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 23 คน,,รับ 10 คน,ไม่เปิดรับสมัครในรอบนี้,,,
34,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมวัสดุ,B.Eng. (Materials Engineering),ภาษาไทย พิเศษ,บางเขน,,,,รับ 15 คน,รับ 27 คน,รับ 30 คน,รับ 10 คน,,,
35,วศ.บ. สาขาวิชาวิศวกรรมสำรวจและสารสนเทศภูมิศาสตร์ (ภาษาไทย พิเศษ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมสำรวจและสารสนเทศภูมิศาสตร์,B.Eng. (Survey Engineering and Geographic Information),ภาษาไทย พิเศษ,บางเขน,,,,รับ 10 คน,รับ 7 คน,รับ 45 คน,ไม่เปิดรับสมัครในรอบนี้,,,
36,วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อม (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมสิ่งแวดล้อม,B.Eng. (Environmental Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 6 คน,,รับ 45 คน,ไม่เปิดรับสมัครในรอบนี้,,,
37,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ,B.Eng. (Aerospace Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 11 คน,,รับ 25 คน,ไม่เปิดรับสมัครในรอบนี้,,,
38,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ (Double Degree - นานาชาติ พิเศษ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมการบินและอวกาศ,B.Eng. (Aerospace Engineering) (International Program),Double Degree - นานาชาติ พิเศษ,บางเขน,,,,รับ 22 คน,รับ 36 คน,รับ 25 คน,รับ 5 คน,,,
39,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ (ภาษาไทย ปกติ) วิทยาเขต บางเขน,มหาวิทยาลัยเกษตรศาสตร์ บางเขน,วศ.บ. สาขาวิชาวิศวกรรมอุตสาหการ,B.Eng. (Industrial Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ 20 คน,,รับ 30 คน,ไม่เปิดรับสมัครในรอบนี้,,,
