จังหวัด,ชื่อสถานศึกษา,LATITUDE,LONGITUDE
ขอนแก่น,วิทยาลัยการสาธารณสุขสิรินธร ขอนแก่น,16.42496,102.8438157
จันทบุรี,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. จันทบุรี), -, -
จันทบุรี,มหาวิทยาลัยบูรพา วิทยาเขตสารสนเทศจันทบุรี,12.61271,101.929321
จันทบุรี,มหาวิทยาลัยราชภัฏรำไพพรรณี,12.664858,102.10309
จันทบุรี,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์จันทบุรี, -, -
จันทบุรี,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก วิทยาเขตจันทบุรี,12.83919,102.11213
จันทบุรี,วิทยาลัยพยาบาลพระปกเกล้า จันทบุรี,12.606699,102.103049
ฉะเชิงเทรา,มหาวิทยาลัยราชภัฏราชนครินทร์,13.6769,101.07039
ฉะเชิงเทรา,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์พุทธโสธร ฉะเชิงเทรา,13.6738464,101.0621651
ฉะเชิงเทรา,มหาวิทยาลัยเฉลิมกาญจนา ฉะเชิงเทรา, -, -
ชลบุรี,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตศรีราชา,13.120993,100.918364
ชลบุรี,มหาวิทยาลัยธรรมศาสตร์ ศูนยถาวร-อุษา ประภา(ศูนย์พัทยา),12.919351,100.9963
ชลบุรี,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตชลบุรี,13.043787,100.919325
ชลบุรี,มหาวิทยาลัยบูรพา,13.282982,100.924738
ชลบุรี,มหาวิทยาลัยศรีปทุม วิทยาเขตชลบุรี,13.410328,100.988498
ชลบุรี,วิทยาลัยดุสิตธานี ศูนย์การศึกษาเมืองพัทยา,12.963558,100.909639
ชลบุรี,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์ชลบุรี, -, -
ชลบุรี,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,13.22632,100.95721
ชลบุรี,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก วิทยาเขตบางพระ จังหวัดชลบุรี, -, -
ชลบุรี,มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก คณะเกษตรศาสตร์บางพระ จังหวัดชลบุรี, -, -
ชลบุรี,วิทยาลัยพยาบาลบรมราชชนนี ชลบุรี, -, -
ชลบุรี,วิทยาลัยการสาธารณสุขสิรินธร ชลบุรี, -, -
ชลบุรี,มหาวิทยาลัยการกีฬาแห่งชาติ,13.411423,100.9894734
ชลบุรี,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตชลบุรี,13.411525,100.99169
ชลบุรี,สถาบันการจัดการปัญญาภิวัฒน์ วิทยาเขตอีอีซี,12.776566,100.939518
ชัยนาท,วิทยาลัยพยาบาลบรมราชชนนี ชัยนาท, -, -
ชัยภูมิ,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดชัยภูมิ,15.407878,101.58755
ชัยภูมิ,มหาวิทยาลัยราชภัฏชัยภูมิ,15.929722,102.018608
ชัยภูมิ,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์ชัยภูมิ, -, -
ชัยภูมิ,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตชัยภูมิ,15.808357,102.017454
ชุมพร,มหาวิทยาลัยแม่โจ้ - ชุมพร,9.772001,99.14162
ชุมพร,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง วิทยาเขตชุมพรเขตอุดมศักดิ์,10.723583,99.375309
ชุมพร,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตชุมพร,10.455633,99.128337
ตรัง,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดตรัง,7.528052,99.65099
ตรัง,มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตตรัง,7.522511,99.578843
ตรัง,มหาวิทยาลัยสวนดุสิต ศูนย์การศึกษา ตรัง,7.797671,99.613267
ตรัง,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย วิทยาเขตตรัง,7.5217884,99.3431854
ตรัง,วิทยาลัยพยาบาลบรมราชชนนี ตรัง, -, -
ตรัง,วิทยาลัยการสาธารณสุขสิรินธร ตรัง, -, -
ตรัง,มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตตรัง,7.4124,99.638825
ตราด,วิทยาลัยชุมชนตราด,12.260596,102.55181
ตาก,วิทยาลัยนอร์ทเทิร์น,16.850094,16.850094
ตาก,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์ตาก, -, -
ตาก,มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา วิทยาเขตตาก,16.901355,99.125374
ตาก,วิทยาลัยชุมชนตาก,16.817028,99.133472
นครนายก,มหาวิทยาลัยศรีนครินทรวิโรฒ องครักษ์, -, -
นครนายก,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นครนายก), -, -
นครนายก,มหาวิทยาลัยนานาชาติเซนต์เทเรซา,14.088457,100.93203
นครนายก,มหาวิทยาลัยสวนดุสิต ศูนย์การศึกษา นครนายก,14.19609,101.220729
นครนายก,โรงเรียนนายร้อยพระจุลจอมเกล้า,14.2982253,101.1663005
นครปฐม,มหาวิทยาลัยเกษตรศาสตร์ วิทยาเขตกำแพงแสน,14.022788,99.978337
นครปฐม,มหาวิทยาลัยศิลปากร วิทยาเขตพระราชวังสนามจันทร์,13.816954,100.04225
นครปฐม,มหาวิทยาลัยคริสเตียน,13.7031222,100.0758314
นครปฐม,วิทยาลัยแสงธรรม,13.713108,100.26269
นครปฐม,มหาวิทยาลัยราชภัฏนครปฐม,13.837847,100.028836
นครปฐม,มหาวิทยาลัยราชภัฏสวนสุนันทา วิทยาเขตนครปฐม, -, -
นครปฐม,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตบาฬีศึกษาพุทธโฆส, -, -
นครปฐม,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์พุทธปัญญาศรีทวารวดี นครปฐม, -, -
นครปฐม,มหาวิทยาลัยมหามกุฏราชวิทยาลัย วิทยาเขตสิรินธรราชวิทยาลัย,13.695088,100.285006
นครปฐม,มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์ วิทยาเขตศาลายา,13.795868,100.300476
นครปฐม,โรงเรียนนายร้อยตำรวจ,13.7309664,100.21802
นครปฐม,สถาบันกันตนา,13.863325,100.272078
นครพนม,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดนครพนม,16.897626,104.49125
นครพนม,มหาวิทยาลัยนครพนม,17.3182,104.6863
นครพนม,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาลัยสงฆ์นครพนม, -, -
นครราชสีมา,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดนครราชสีมา,14.800504,102.08868
นครราชสีมา,สถาบันบัณฑิตพัฒนบริหารศาสตร์ วิทยาเขตนครราชสีมา,14.853815,101.663835
นครราชสีมา,มหาวิทยาลัยเทคโนโลยีสุรนารี,14.872917,102.0237
นครราชสีมา,มหาวิทยาลัยวงษ์ชวลิตกุล,15.002384,102.11736
นครราชสีมา,มหาวิทยาลัยราชภัฏนครราชสีมา,14.9846388,102.113701
นครราชสีมา,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตนครราชสีมา, -, -
นครราชสีมา,มหาวิทยาลัยมหามกุฏราชวิทยาลัย มหาปชาบดีเถรีวิทยาลัย ในพระสังฆราชูปถัมภ์,14.620928,101.963491
นครราชสีมา,มหาวิทยาลัยมหามกุฏราชวิทยาลัย วิทยาลัยศาสนศาสตร์นครราชสีมา,14.9706207,102.097386
นครราชสีมา,วิทยาลัยนครราชสีมา,14.95096,102.01353
นครราชสีมา,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,14.987758,102.117763
นครราชสีมา,มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน นครราชสีมา,14.987758,102.117763
นครราชสีมา,วิทยาลัยพยาบาลบรมราชชนนี นครราชสีมา, -, -
นครราชสีมา,วิทยาลัยเทคโนโลยีพนมวันท์,13.63334,100.50316
นครศรีธรรมราช,มหาวิทยาลัยรามคำแหง สาขาวิทยบริการเฉลิมพระเกียรติจังหวัดนครศรีธรรมราช,8.307815,99.91028
นครศรีธรรมราช,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นครศรีธรรมราช), -, -
นครศรีธรรมราช,มหาวิทยาลัยวลัยลักษณ์,8.6415619,99.8273218
นครศรีธรรมราช,วิทยาลัยเทคโนโลยีภาคใต้,8.12807,99.67322
นครศรีธรรมราช,มหาวิทยาลัยราชภัฏนครศรีธรรมราช,8.8297614,99.7496905
นครศรีธรรมราช,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตนครศรีธรรมราช, -, -
นครศรีธรรมราช,มหาวิทยาลัยมหามกุฏราชวิทยาลัย วิทยาเขตศรีธรรมาโศกราช,8.345618,99.886637
นครศรีธรรมราช,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย วิทยาเขตนครศรีธรรมราช (พื้นที่ไสใหญ่),8.1625557,99.7229004
นครศรีธรรมราช,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย วิทยาเขตนครศรีธรรมราช (พื้นที่ทุ่งใหญ่),8.3507,99.4197464
นครศรีธรรมราช,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย วิทยาเขตนครศรีธรรมราช (พื้นที่ขนอม),9.2702008,99.8217773
นครศรีธรรมราช,มหาวิทยาลัยเฉลิมกาญจนา นครศรีธรรมราช, -, -
นครศรีธรรมราช,วิทยาลัยพยาบาลบรมราชชนนี นครศรีธรรมราช, -, -
นครสวรรค์,มหาวิทยาลัยมหิดล วิทยาเขตนครสวรรค์ (โครงการจัดตั้งวิทยาเขต),15.5765538,100.154905
นครสวรรค์,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นครสวรรค์), -, -
นครสวรรค์,มหาวิทยาลัยเจ้าพระยา,15.73338,100.05879
นครสวรรค์,มหาวิทยาลัยภาคกลาง,15.6973861,100.1122156
นครสวรรค์,มหาวิทยาลัยราชภัฏนครสวรรค์,15.687869,100.106507
นครสวรรค์,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย วิทยาเขตนครสวรรค์, -, -
นครสวรรค์,วิทยาลัยพยาบาลบรมราชชนนี สวรรค์ประชารักษ์, -, -
นนทบุรี,มหาวิทยาลัยศิลปากร วิทยาเขตเมืองทองธานี,13.91499,100.55191
นนทบุรี,มหาวิทยาลัยสุโขทัยธรรมาธิราช,13.91137,13.9114
นนทบุรี,มหาวิทยาลัยสุโขทัยธรรมาธิราช (ศูนย์วิทยบริการและชุมชนสัมพันธ์ มสธ. นนทบุรี), -, -
นนทบุรี,มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,14.377341,100.60508
